site,longitude,latitude,ve,vn,se,sn
01AQ,-78.498,-0.147,3.49,1.16,0.35,0.43
ANTN,-78.162,-0.463,0.27,0.57,0.23,0.25
ANTS,-78.170,-0.497,-0.04,0.28,0.29,0.23
CASI,-78.480,-0.037,2.50,0.24,0.52,0.66
CATE,-78.428,0.000,1.72,-0.55,0.40,0.53
CORE,-78.524,-0.328,2.06,-0.63,0.34,0.44
CULA,-78.696,0.144,3.31,1.77,0.29,0.35
EPEC,-78.446,-0.315,1.12,-0.95,0.25,0.49
GGPA,-78.593,-0.180,4.74,0.38,0.32,0.19
HSPR,-78.850,-0.352,2.57,0.68,0.24,0.21
IGNA,-78.752,-0.451,2.60,-0.37,0.18,0.23
ILAL,-78.419,-0.263,1.60,0.18,0.13,0.16
JERU,-78.358,-0.006,0.70,0.56,0.24,0.31
LACH,-78.420,0.161,1.19,0.38,1.33,1.64
MIRA,-78.509,-0.270,3.24,-1.66,0.13,0.16
NAYO,-78.436,-0.157,2.02,-0.05,0.15,0.21
NONO,-78.599,-0.042,3.57,0.86,0.26,0.32
OYAM,-78.329,-0.203,0.38,0.07,0.28,0.34
PAM1,-78.209,-0.080,0.62,0.66,0.23,0.38
PAPA,-78.141,-0.381,0.03,0.78,0.10,0.52
PINT,-78.356,-0.420,0.69,-0.74,0.18,0.17
PLHA,-78.502,0.022,4.15,1.27,0.15,0.21
QUEM,-78.497,-0.237,4.27,-0.50,0.21,0.11
QUI1,-78.494,-0.215,3.30,0.15,0.09,0.49
UNGU,-78.557,-0.237,3.26,-1.24,0.18,0.23
LUMQ,-78.471,-0.216,1.95,-0.16,0.16,0.21
PAL0,-78.649,-0.219,3.33,-0.97,0.28,0.36
18AQ,-78.489,-0.185,4.22,0.91,0.23,0.41
SALF,-78.155,-0.233,1.13,-0.23,0.23,0.18
