lon,lat,name,fix,mov,obs_ve,obs_vn,obs_ee,obs_en,pred_ve,pred_vn,cen,resid_e,resid_n
-63.1947,-19.7907,BOQN ,1111,sam,1.38,0.65,0.33,0.25,1.217,0.672,0.0,0.163,-0.022
-62.6297,-21.562,BPSC ,1111,sam,-1.06,0.0,0.42,0.4,0.748,0.461,0.0,-1.808,-0.461
-62.5611,-19.5053,BRCH ,1111,sam,0.48,1.73,1.26,0.67,0.68,0.554,0.0,-0.2,1.176
-62.3808,-19.4391,CCDO ,1111,sam,0.93,1.93,0.56,0.33,0.606,0.551,0.0,0.324,1.379
-62.9945,-21.5427,IBOB ,1111,sam,-0.66,0.11,0.31,0.32,0.893,0.445,0.0,-1.553,-0.335
-62.8877,-21.5702,M009 ,1111,sam,-0.33,0.35,1.19,0.3,0.841,0.449,0.0,-1.171,-0.099
-62.7584,-21.6409,M010 ,1111,sam,-0.52,0.47,0.74,0.44,0.787,0.451,0.0,-1.307,0.019
-63.121,-21.4456,M011 ,1111,sam,-0.29,0.31,1.07,0.12,0.974,0.444,0.0,-1.264,-0.134
-63.2295,-21.362,M012 ,1111,sam,-0.1,-0.01,0.75,0.65,1.062,0.44,0.0,-1.162,-0.45
-62.6294,-21.5619,PBOL ,1111,sam,-0.6,0.05,1.44,0.45,0.748,0.461,0.0,-1.348,-0.411
-62.9849,-19.6186,SALA ,1111,sam,1.05,0.94,0.81,1.62,0.964,0.587,0.0,0.086,0.353
-63.1597,-17.7968,SCRZ ,1111,sam,5.4,-0.01,1.11,1.75,0.625,0.653,0.0,4.775,-0.663
-63.3957,-21.2286,VMT3b ,1111,sam,-0.39,0.21,1.69,1.11,1.269,0.442,0.0,-1.659,-0.232
-63.68,-22.0171,YCBA ,1111,sam,3.19,0.79,0.28,0.28,1.412,0.432,0.0,1.778,0.358
-58.95969,-27.42044,CHACI ,1111,sam,0.0,0.07,0.71,0.49,0.8,0.696,0.0,-0.8,-0.626
-64.25678,-27.78915,TEROI ,1111,sam,2.69,-0.12,0.13,0.16,0.96,0.316,0.0,1.73,-0.436
-63.67999,-22.0171,YCBAI ,1111,sam,2.1,0.82,0.73,0.31,1.412,0.432,0.0,0.688,0.388
-76.1302,-5.8966,YRMG,1111,sam,2.91,0.97,1.17,0.92,-0.002,-0.189,0.0,2.912,1.159
-73.2747,-3.7673,IQTS,1111,sam,0.04,0.58,0.35,0.26,-0.7,-0.205,0.0,0.74,0.785
-69.187,-12.586,PUER,1111,sam,1.32,2.3,0.93,0.62,0.13,0.272,0.0,1.19,2.028
-81.0554,-4.6934,SUNW,1111,sam033,2.33,-0.33,0.19,0.4,-2.451,6.801,0.0,4.781,-7.131
-79.0025,-2.8833,CUEC,1111,sam033,5.29,-2.29,0.31,0.27,2.239,-3.042,0.0,3.051,0.752
-80.0252,-4.0198,ALAM,1111,sam033,1.87,-4.37,3.84,1.99,-4.13,-1.318,0.0,6.0,-3.052
-79.237,-2.7531,CAJA,1111,sam033,3.72,-3.05,4.47,2.29,-0.187,-4.982,0.0,3.907,1.932
-79.32,-3.2549,CLPI,1111,sam033,4.22,-3.69,1.65,1.32,0.506,-2.432,0.0,3.714,-1.258
-79.5365,-3.1414,NARI,1111,sam033,2.55,-2.2,0.51,0.34,-1.852,-4.336,0.0,4.402,2.136
-81.2888,-4.4527,PLOB,1111,sam034,3.62,-0.49,0.59,0.48,3.406,2.192,0.0,0.214,-2.682
-80.9623,-3.9577,PSAL,1111,sam034,9.72,-0.33,0.6,0.5,-1.454,-1.245,0.0,11.174,0.915
-81.2692,-4.5871,PI03,1111,sam034,2.85,-1.28,0.53,0.45,2.692,1.897,0.0,0.158,-3.177
-80.4524,-3.5572,TU01,1111,sam034,6.79,-1.63,0.46,0.58,-5.181,-5.934,0.0,11.971,4.304
-80.0685,-3.5591,AREN,1111,sam034,4.73,-1.23,1.03,0.65,-7.186,-2.614,0.0,11.916,1.384
-79.9685,-3.2565,MACH,1111,sam034,4.8,-0.81,0.75,0.41,-8.365,-2.311,0.0,13.165,1.501
-76.6881,-10.6471,OYON,1111,sam035,11.89,4.03,0.85,0.68,8.302,0.814,0.0,3.588,3.216
-76.3225,-9.9188,HNCO,1111,sam035,6.38,2.2,1.19,0.99,6.957,0.622,0.0,-0.577,1.578
-76.4986,-6.4379,LMAS,1111,sam035,3.35,1.58,0.65,0.49,3.347,0.639,0.0,0.003,0.941
-77.002,-6.0683,MOYB,1111,sam035,3.01,-0.01,0.66,0.51,3.299,-0.302,0.0,-0.289,0.292
-75.3216,-11.0749,MRCD,1111,sam035,9.25,1.65,0.63,0.53,7.39,1.034,0.0,1.86,0.616
-74.6422,-11.2583,SATI,1111,sam035,8.33,1.5,0.63,0.51,5.516,1.805,0.0,2.814,-0.305
-75.5488,-11.4216,TAPO,1111,sam035,12.63,0.25,1.04,0.81,8.161,1.107,0.0,4.469,-0.857
